Scan Configurations
Target Ip-Address : 45.33.32.156     
No of Ports to scan : 250
Scans to be performed : UDP 
No of threads : 1
Scanning..
...................
Scan took 249.15422 secs
IP address: 45.33.32.156

Open ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
123       ntp                          UDP(Open)                                     Open

Closed/Filtered/Unfiltered ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
1         tcpmux                       UDP(Closed)                                   Closed
2         compressnet                  UDP(Closed)                                   Closed
3         compressnet                  UDP(Closed)                                   Closed
4         unknown                      UDP(Closed)                                   Closed
5         rje                          UDP(Closed)                                   Closed
6         unknown                      UDP(Closed)                                   Closed
7         echo                         UDP(Closed)                                   Closed
8         unknown                      UDP(Closed)                                   Closed
9         discard                      UDP(Closed)                                   Closed
10        unknown                      UDP(Closed)                                   Closed
11        systat                       UDP(Closed)                                   Closed
12        unknown                      UDP(Closed)                                   Closed
13        daytime                      UDP(Closed)                                   Closed
14        unknown                      UDP(Closed)                                   Closed
15        netstat                      UDP(Closed)                                   Closed
16        unknown                      UDP(Closed)                                   Closed
17        qotd                         UDP(Closed)                                   Closed
18        msp                          UDP(Closed)                                   Closed
19        chargen                      UDP(Closed)                                   Closed
20        ftp-data                     UDP(Closed)                                   Closed
21        ftp                          UDP(Closed)                                   Closed
22        ssh                          UDP(Closed)                                   Closed
23        telnet                       UDP(Closed)                                   Closed
24        priv-mail                    UDP(Closed)                                   Closed
25        smtp                         UDP(Closed)                                   Closed
26        rsftp                        UDP(Closed)                                   Closed
27        nsw-fe                       UDP(Closed)                                   Closed
28        unknown                      UDP(Closed)                                   Closed
29        msg-icp                      UDP(Closed)                                   Closed
30        unknown                      UDP(Closed)                                   Closed
31        msg-auth                     UDP(Closed)                                   Closed
32        unknown                      UDP(Closed)                                   Closed
33        dsp                          UDP(Closed)                                   Closed
34        unknown                      UDP(Closed)                                   Closed
35        priv-print                   UDP(Closed)                                   Closed
36        unknown                      UDP(Closed)                                   Closed
37        time                         UDP(Closed)                                   Closed
38        rap                          UDP(Closed)                                   Closed
39        rlp                          UDP(Closed)                                   Closed
40        unknown                      UDP(Closed)                                   Closed
41        graphics                     UDP(Closed)                                   Closed
42        nameserver                   UDP(Closed)                                   Closed
43        whois                        UDP(Closed)                                   Closed
44        mpm-flags                    UDP(Closed)                                   Closed
45        mpm                          UDP(Closed)                                   Closed
46        mpm-snd                      UDP(Closed)                                   Closed
47        ni-ftp                       UDP(Closed)                                   Closed
48        auditd                       UDP(Closed)                                   Closed
49        tacacs                       UDP(Closed)                                   Closed
50        re-mail-ck                   UDP(Closed)                                   Closed
51        la-maint                     UDP(Closed)                                   Closed
52        xns-time                     UDP(Closed)                                   Closed
53        domain                       UDP(Closed)                                   Closed
54        xns-ch                       UDP(Closed)                                   Closed
55        isi-gl                       UDP(Closed)                                   Closed
56        xns-auth                     UDP(Closed)                                   Closed
57        priv-term                    UDP(Closed)                                   Closed
58        xns-mail                     UDP(Closed)                                   Closed
59        priv-file                    UDP(Closed)                                   Closed
60        unknown                      UDP(Closed)                                   Closed
61        ni-mail                      UDP(Closed)                                   Closed
62        acas                         UDP(Closed)                                   Closed
63        via-ftp                      UDP(Closed)                                   Closed
64        covia                        UDP(Closed)                                   Closed
65        tacacs-ds                    UDP(Closed)                                   Closed
66        sqlnet                       UDP(Closed)                                   Closed
67        dhcps                        UDP(Closed)                                   Closed
68        dhcpc                        UDP(Open|Filtered)                            Open|Filtered
69        tftp                         UDP(Closed)                                   Closed
70        gopher                       UDP(Closed)                                   Closed
71        netrjs-1                     UDP(Closed)                                   Closed
72        netrjs-2                     UDP(Closed)                                   Closed
73        netrjs-3                     UDP(Closed)                                   Closed
74        netrjs-4                     UDP(Closed)                                   Closed
75        priv-dial                    UDP(Closed)                                   Closed
76        deos                         UDP(Closed)                                   Closed
77        priv-rje                     UDP(Closed)                                   Closed
78        vettcp                       UDP(Closed)                                   Closed
79        finger                       UDP(Closed)                                   Closed
80        http                         UDP(Closed)                                   Closed
81        hosts2-ns                    UDP(Closed)                                   Closed
82        xfer                         UDP(Closed)                                   Closed
83        mit-ml-dev                   UDP(Closed)                                   Closed
84        ctf                          UDP(Closed)                                   Closed
85        mit-ml-dev                   UDP(Closed)                                   Closed
86        mfcobol                      UDP(Closed)                                   Closed
87        priv-term-l                  UDP(Closed)                                   Closed
88        kerberos-sec                 UDP(Closed)                                   Closed
89        su-mit-tg                    UDP(Closed)                                   Closed
90        dnsix                        UDP(Closed)                                   Closed
91        mit-dov                      UDP(Closed)                                   Closed
92        npp                          UDP(Closed)                                   Closed
93        dcp                          UDP(Closed)                                   Closed
94        objcall                      UDP(Closed)                                   Closed
95        supdup                       UDP(Closed)                                   Closed
96        dixie                        UDP(Closed)                                   Closed
97        swift-rvf                    UDP(Closed)                                   Closed
98        linuxconf                    UDP(Closed)                                   Closed
99        metagram                     UDP(Closed)                                   Closed
100       newacct                      UDP(Closed)                                   Closed
101       hostname                     UDP(Closed)                                   Closed
102       iso-tsap                     UDP(Closed)                                   Closed
103       gppitnp                      UDP(Closed)                                   Closed
104       acr-nema                     UDP(Closed)                                   Closed
105       csnet-ns                     UDP(Closed)                                   Closed
106       pop3pw                       UDP(Closed)                                   Closed
107       rtelnet                      UDP(Closed)                                   Closed
108       snagas                       UDP(Closed)                                   Closed
109       pop2                         UDP(Closed)                                   Closed
110       pop3                         UDP(Closed)                                   Closed
111       rpcbind                      UDP(Closed)                                   Closed
112       mcidas                       UDP(Closed)                                   Closed
113       ident                        UDP(Closed)                                   Closed
114       audionews                    UDP(Closed)                                   Closed
115       sftp                         UDP(Closed)                                   Closed
116       ansanotify                   UDP(Closed)                                   Closed
117       uucp-path                    UDP(Closed)                                   Closed
118       sqlserv                      UDP(Closed)                                   Closed
119       nntp                         UDP(Closed)                                   Closed
120       cfdptkt                      UDP(Closed)                                   Closed
121       erpc                         UDP(Closed)                                   Closed
122       smakynet                     UDP(Closed)                                   Closed
124       ansatrader                   UDP(Closed)                                   Closed
125       locus-map                    UDP(Closed)                                   Closed
126       unitary                      UDP(Closed)                                   Closed
127       locus-con                    UDP(Closed)                                   Closed
128       gss-xlicen                   UDP(Closed)                                   Closed
129       pwdgen                       UDP(Closed)                                   Closed
130       cisco-fna                    UDP(Closed)                                   Closed
131       cisco-tna                    UDP(Closed)                                   Closed
132       cisco-sys                    UDP(Closed)                                   Closed
133       statsrv                      UDP(Closed)                                   Closed
134       ingres-net                   UDP(Closed)                                   Closed
135       msrpc                        UDP(Closed)                                   Closed
136       profile                      UDP(Closed)                                   Closed
137       netbios-ns                   UDP(Closed)                                   Closed
138       netbios-dgm                  UDP(Closed)                                   Closed
139       netbios-ssn                  UDP(Closed)                                   Closed
140       emfis-data                   UDP(Closed)                                   Closed
141       emfis-cntl                   UDP(Closed)                                   Closed
142       bl-idm                       UDP(Closed)                                   Closed
143       imap                         UDP(Closed)                                   Closed
144       news                         UDP(Closed)                                   Closed
145       uaac                         UDP(Closed)                                   Closed
146       iso-tp0                      UDP(Closed)                                   Closed
147       iso-ip                       UDP(Closed)                                   Closed
148       cronus                       UDP(Closed)                                   Closed
149       aed-512                      UDP(Closed)                                   Closed
150       sql-net                      UDP(Closed)                                   Closed
151       hems                         UDP(Closed)                                   Closed
152       bftp                         UDP(Closed)                                   Closed
153       sgmp                         UDP(Closed)                                   Closed
154       netsc-prod                   UDP(Closed)                                   Closed
155       netsc-dev                    UDP(Closed)                                   Closed
156       sqlsrv                       UDP(Closed)                                   Closed
157       knet-cmp                     UDP(Closed)                                   Closed
158       pcmail-srv                   UDP(Closed)                                   Closed
159       nss-routing                  UDP(Closed)                                   Closed
160       sgmp-traps                   UDP(Closed)                                   Closed
161       snmp                         UDP(Closed)                                   Closed
162       snmptrap                     UDP(Closed)                                   Closed
