Scan Configurations
Target Ip-Address : 45.33.32.156     
No of Ports to scan : 250
Scans to be performed : NULL FIN UDP 
No of threads : 1
Scanning..
...................
Scan took 252.60933 secs
IP address: 45.33.32.156

Open ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
123       ntp                          NULL(Filtered) FIN(Filtered) UDP(Open)        Open

Closed/Filtered/Unfiltered ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
1         tcpmux                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
2         compressnet                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
3         compressnet                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
4         unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
5         rje                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
6         unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
7         echo                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
8         unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
9         discard                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
10        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
11        systat                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
12        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
13        daytime                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
14        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
15        netstat                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
16        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
17        qotd                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
18        msp                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
19        chargen                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
20        ftp-data                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
21        ftp                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
22        ssh                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
23        telnet                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
24        priv-mail                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
25        smtp                         NULL(Filtered) FIN(Filtered)                 
                                       UDP(Open|Filtered)                            Open|Filtered
26        rsftp                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
27        nsw-fe                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
28        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
29        msg-icp                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
30        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
31        msg-auth                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
32        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
33        dsp                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
34        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
35        priv-print                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
36        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
37        time                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
38        rap                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
39        rlp                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
40        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
41        graphics                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
42        nameserver                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
43        whois                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
44        mpm-flags                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
45        mpm                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
46        mpm-snd                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
47        ni-ftp                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
48        auditd                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
49        tacacs                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
50        re-mail-ck                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
51        la-maint                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
52        xns-time                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
53        domain                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
54        xns-ch                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
55        isi-gl                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
56        xns-auth                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
57        priv-term                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
58        xns-mail                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
59        priv-file                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
60        unknown                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
61        ni-mail                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
62        acas                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
63        via-ftp                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
64        covia                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
65        tacacs-ds                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
66        sqlnet                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
67        dhcps                        NULL(Filtered) FIN(Filtered)                 
                                       UDP(Open|Filtered)                            Open|Filtered
68        dhcpc                        NULL(Filtered) FIN(Filtered)                 
                                       UDP(Open|Filtered)                            Open|Filtered
69        tftp                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
70        gopher                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
71        netrjs-1                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
72        netrjs-2                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
73        netrjs-3                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
74        netrjs-4                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
75        priv-dial                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
76        deos                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
77        priv-rje                     NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
78        vettcp                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
79        finger                       NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
80        http                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
81        hosts2-ns                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
82        xfer                         NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
83        mit-ml-dev                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
84        ctf                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
85        mit-ml-dev                   NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
86        mfcobol                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
87        priv-term-l                  NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
88        kerberos-sec                 NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
89        su-mit-tg                    NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
90        dnsix                        NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
91        mit-dov                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
92        npp                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
93        dcp                          NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
94        objcall                      NULL(Filtered) FIN(Filtered) UDP(Closed)      Closed
